Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
61	135	0	0.432251739	101324.207	101324.257	101324.205	101324.394	0.0918391078	0	0	0	0	0	3
62	137	0	0.439337833	101324.207	101324.257	101324.205	101324.394	0.0926489918	0	0	0	0	0	3
63	139	0	0.446423927	101324.208	101324.256	101324.205	101324.394	0.0934234679	0	0	0	0	0	3
64	141	0	0.453510021	101324.208	101324.255	101324.205	101324.394	0.0941662863	0	0	0	0	0	3
65	143	0	0.460596115	101324.209	101324.254	101324.205	101324.394	0.0948784575	0	0	0	0	0	3
66	145	0	0.467682209	101324.209	101324.254	101324.205	101324.394	0.0955617055	0	0	0	0	0	3
67	147	0	0.474768304	101324.21	101324.253	101324.205	101324.394	0.0962172555	0	0	0	0	0	3
68	149	0	0.481854398	101324.21	101324.252	101324.205	101324.394	0.096846626	0	0	0	0	0	3
69	151	0	0.488940492	101324.211	101324.252	101324.205	101324.394	0.0974505236	0	0	0	0	0	3
70	152	0	0.496026586	101324.211	101324.251	101324.205	101324.394	0.0980301138	0	0	0	0	0	3
71	154	0	0.50311268	101324.212	101324.251	101324.205	101324.394	0.0985853914	0	0	0	0	0	3
72	156	0	0.510198774	101324.212	101324.249	101324.205	101324.394	0.10007358	0	0	0	0	0	3
73	158	0	0.517284868	101324.213	101324.247	101324.205	101324.394	0.101991089	0	0	0	0	0	3
74	160	0	0.524370962	101324.213	101324.246	101324.205	101324.394	0.103718839	0	0	0	0	0	3
75	162	0	0.531457056	101324.214	101324.243	101324.205	101324.373	0.105664715	0	0	0	0	0	3
76	164	0	0.53854315	101324.214	101324.242	101324.205	101324.373	0.107138007	0	0	0	0	0	3
77	166	0	0.545629244	101324.214	101324.239	101324.205	101324.364	0.109366199	0	0	0	0	0	3
78	168	0	0.552715338	101324.215	101324.238	101324.205	101324.364	0.11109515	0	0	0	0	0	3
79	170	0	0.559801433	101324.215	101324.236	101324.205	101324.353	0.112970917	0	0	0	0	0	3
80	172	0	0.566887527	101324.215	101324.234	101324.205	101324.353	0.114760761	0	0	0	0	0	3
81	174	0	0.573973621	101324.215	101324.232	101324.205	101324.343	0.116170933	0	0	0	0	0	3
82	176	0	0.581059715	101324.215	101324.23	101324.205	101324.342	0.117485337	0	0	0	0	0	3
83	178	0	0.588145809	101324.215	101324.228	101324.205	101324.335	0.118320593	0	0	0	0	0	3
84	180	0	0.595231903	101324.214	101324.226	101324.205	101324.331	0.118913586	0	0	0	0	0	3
85	182	0	0.602317997	101324.214	101324.225	101324.205	101324.326	0.119286438	0	0	0	0	0	3
86	184	0	0.609404091	101324.214	101324.223	101324.205	101324.321	0.115255665	0	0	0	0	0	3
87	186	0	0.616490185	101324.214	101324.222	101324.205	101324.315	0.109342725	0	0	0	0	0	3
88	188	0	0.623576279	101324.213	101324.22	101324.205	101324.306	0.100491529	0	0	0	0	0	3
89	190	0	0.630662373	101324.213	101324.219	101324.205	101324.301	0.0956051511	0	0	0	0	0	3
90	192	0	0.637748467	101324.212	101324.218	101324.205	101324.292	0.0869366858	0	0	0	0	0	3
91	194	0	0.644834562	101324.212	101324.217	101324.205	101324.287	0.081565962	0	0	0	0	0	3
92	196	0	0.651920656	101324.212	101324.216	101324.205	101324.276	0.0702596537	0	0	0	0	0	3
93	198	0	0.65900675	101324.212	101324.215	101324.205	101324.268	0.0624063238	0	0	0	0	0	3
94	200	0	0.666092844	101324.212	101324.214	101324.205	101324.258	0.052376889	0	0	0	0	0	3
95	201	0	0.673178938	101324.211	101324.213	101324.205	101324.25	0.0447052365	0	0	0	0	0	3
96	203	0	0.680265032	101324.211	101324.213	101324.205	101324.242	0.0363994505	0	0	0	0	0	3
97	205	0	0.687351126	101324.211	101324.212	101324.205	101324.233	0.0272167027	0	0	0	0	0	3
98	207	0	0.69443722	101324.211	101324.212	101324.205	101324.224	0.0185811032	0	0	0	0	0	3
99	209	0	0.701523314	101324.211	101324.212	101324.205	101324.218	0.0125637037	0	0	0	0	0	3
100	211	0	0.708609408	101324.211	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
101	216	0	0.715695502	101324.211	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
102	218	0	0.722781596	101324.211	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
103	220	0	0.729867691	101324.212	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
104	222	0	0.736953785	101324.212	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
105	224	0	0.744039879	101324.212	101324.212	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
106	225	0	0.751125973	101324.212	101324.211	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
107	227	0	0.758212067	101324.212	101324.211	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
108	229	0	0.765298161	101324.212	101324.211	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
109	231	0	0.772384255	101324.212	101324.211	101324.205	101324.217	0.0118333853	0	0	0	0	0	3
110	233	0	0.779470349	101324.212	101324.211	101324.205	101324.217	0.0115519517	0	0	0	0	0	3
111	235	0	0.786556443	101324.212	101324.211	101324.205	101324.217	0.0110988295	0	0	0	0	0	3
112	237	0	0.793642537	101324.213	101324.211	101324.205	101324.216	0.0102191954	0	0	0	0	0	3
113	239	0	0.800728631	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
114	241	0	0.807814725	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
115	243	0	0.81490082	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
116	245	0	0.821986914	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
117	247	0	0.829073008	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
118	248	0	0.836159102	101324.213	101324.211	101324.205	101324.215	0.00934322827	0	0	0	0	0	3
