Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
52	118	0	0.368476892	26.7732752	34.3484902	-3.16547697	500.127401	465.778911	0	0	0	0	0	3
53	119	0	0.375562986	26.7343209	34.2048266	-3.16547697	500.127401	465.922574	0	0	0	0	0	3
54	121	0	0.38264908	26.757087	34.0669055	-3.16547697	500.127401	466.060496	0	0	0	0	0	3
55	123	0	0.389735175	26.6883965	33.9327508	-3.16547697	500.127401	466.19465	0	0	0	0	0	3
56	125	0	0.396821269	26.6830413	33.8032917	-3.16547697	500.127401	466.324109	0	0	0	0	0	3
57	127	0	0.403907363	26.5846927	33.6766496	-3.16547697	500.127401	466.450751	0	0	0	0	0	3
58	129	0	0.410993457	26.5621084	33.5539851	-3.16547697	500.127401	466.573416	0	0	0	0	0	3
59	131	0	0.418079551	26.464185	33.433819	-3.16547697	500.127401	466.693582	0	0	0	0	0	3
60	133	0	0.425165645	26.4395218	33.3172474	-3.16547697	500.127401	466.810154	0	0	0	0	0	3
61	135	0	0.432251739	26.3378562	33.2028311	-3.16547697	500.127401	466.92457	0	0	0	0	0	3
62	137	0	0.439337833	26.3200094	33.0918179	-3.16547697	500.127401	467.035583	0	0	0	0	0	3
63	139	0	0.446423927	26.2182062	32.9827129	-3.16547697	500.127401	467.144688	0	0	0	0	0	3
64	141	0	0.453510021	26.1996721	32.8767279	-3.16547697	500.127401	467.250673	0	0	0	0	0	3
65	143	0	0.460596115	26.1137658	32.7726824	-3.16547697	500.127401	467.354719	0	0	0	0	0	3
66	145	0	0.467682209	26.0996787	32.6715762	-3.16547697	500.127401	467.455825	0	0	0	0	0	3
67	147	0	0.474768304	26.0089397	32.5721339	-3.16547697	500.127401	467.555267	0	0	0	0	0	3
68	149	0	0.481854398	25.9914763	32.4753595	-3.16547697	500.127401	467.652042	0	0	0	0	0	3
69	151	0	0.488940492	25.8925051	32.3799558	-3.16547697	500.127401	467.747445	0	0	0	0	0	3
70	152	0	0.496026586	25.8775474	32.2870643	-3.16547697	500.127401	467.840337	0	0	0	0	0	3
71	154	0	0.50311268	25.7920779	32.1955856	-3.16547697	500.127401	467.931815	0	0	0	0	0	3
72	156	0	0.510198774	25.7900698	25.5147781	-3.16547697	55.0640249	58.2295018	0	0	0	0	0	3
73	158	0	0.517284868	25.7151895	25.697116	-3.16547697	55.0640249	58.2295018	0	0	0	0	0	3
74	160	0	0.524370962	25.7248611	25.2838884	-3.16547697	40.7623312	43.9278082	0	0	0	0	0	3
75	162	0	0.531457056	25.667477	25.6899863	11.1551133	40.7623312	29.6072179	0	0	0	0	0	3
76	164	0	0.53854315	25.6936348	25.4777511	11.1551133	30.4103334	19.2552201	0	0	0	0	0	3
77	166	0	0.545629244	25.6605101	25.6820525	16.4270775	30.4103334	13.9832559	0	0	0	0	0	3
78	168	0	0.552715338	25.7066801	25.6158039	16.4270775	27.2383697	10.8112923	0	0	0	0	0	3
79	170	0	0.559801433	25.6904916	25.7462745	19.817886	27.2383697	7.42048368	0	0	0	0	0	3
80	172	0	0.566887527	25.7540411	25.7253684	19.817886	26.7732752	6.95538913	0	0	0	0	0	3
81	174	0	0.573973621	25.7415067	25.8087997	22.5792098	26.7732752	4.19406537	0	0	0	0	0	3
82	176	0	0.581059715	25.8013157	25.8147419	22.5792098	26.7732752	4.19406537	0	0	0	0	0	3
83	178	0	0.588145809	25.7984289	25.860083	24.0110913	26.7732752	2.76218389	0	0	0	0	0	3
84	180	0	0.595231903	25.8735344	25.8672409	24.0110913	26.7732752	2.76218389	0	0	0	0	0	3
85	182	0	0.602317997	25.8848009	25.8936312	24.8930825	26.7732752	1.88019264	0	0	0	0	0	3
86	184	0	0.609404091	25.9718115	25.8988603	24.8930825	26.7732752	1.88019264	0	0	0	0	0	3
87	186	0	0.616490185	25.9809636	25.9141825	25.1924652	26.7732752	1.58080996	0	0	0	0	0	3
88	188	0	0.623576279	26.056155	25.9202294	25.1924652	26.7732752	1.58080996	0	0	0	0	0	3
89	190	0	0.630662373	26.0435401	25.9322164	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
90	192	0	0.637748467	26.1062352	25.9409559	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
91	194	0	0.644834562	26.0883778	25.9517252	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
92	196	0	0.651920656	26.1525553	25.9634561	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
93	198	0	0.65900675	26.1340867	25.9747408	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
94	200	0	0.666092844	26.1856038	25.9877408	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
95	201	0	0.673178938	26.1576506	25.9989177	25.2494642	26.7732752	1.52381097	0	0	0	0	0	3
96	203	0	0.680265032	26.1942451	26.0122245	25.3008469	26.7732752	1.47242828	0	0	0	0	0	3
97	205	0	0.687351126	26.1552031	26.0235518	25.3008469	26.7732752	1.47242828	0	0	0	0	0	3
98	207	0	0.69443722	26.1896928	26.0360708	25.3395333	26.7732752	1.43374191	0	0	0	0	0	3
99	209	0	0.701523314	26.1551659	26.0467383	25.3395333	26.7732752	1.43374191	0	0	0	0	0	3
100	211	0	0.708609408	26.1917927	26.0587419	25.3696057	26.7732752	1.40366948	0	0	0	0	0	3
101	216	0	0.715695502	26.1556772	26.0691779	25.3696057	26.7732752	1.40366948	0	0	0	0	0	3
102	218	0	0.722781596	26.1830713	26.0806351	25.3726242	26.7732752	1.40065101	0	0	0	0	0	3
103	220	0	0.729867691	26.136739	26.0904135	25.3726242	26.7732752	1.40065101	0	0	0	0	0	3
104	222	0	0.736953785	26.1580016	26.1013029	25.3726242	26.7732752	1.40065101	0	0	0	0	0	3
105	224	0	0.744039879	26.1171245	26.110908	25.3726242	26.7732752	1.40065101	0	0	0	0	0	3
106	225	0	0.751125973	26.1433159	26.1217628	25.4570677	26.7732752	1.31620748	0	0	0	0	0	3
