Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	131	0	0.418079551	4.74248991	11.497472	-8.19985995	369.04041	357.542938	0	0	0	0	0	3
60	133	0	0.425165645	4.74420004	11.3849175	-8.19985995	369.04041	357.655492	0	0	0	0	0	3
61	135	0	0.432251739	4.746696	11.2760942	-8.19985995	369.04041	357.764316	0	0	0	0	0	3
62	137	0	0.439337833	4.74450663	11.170746	-8.19985995	369.04041	357.869664	0	0	0	0	0	3
63	139	0	0.446423927	4.74359356	11.0687277	-8.19985995	369.04041	357.971682	0	0	0	0	0	3
64	141	0	0.453510021	4.73953158	10.969834	-8.19985995	369.04041	358.070576	0	0	0	0	0	3
65	143	0	0.460596115	4.74058496	10.8739994	-8.19985995	369.04041	358.166411	0	0	0	0	0	3
66	145	0	0.467682209	4.7378672	10.7810277	-8.19985995	369.04041	358.259382	0	0	0	0	0	3
67	147	0	0.474768304	4.74045625	10.6908699	-8.19985995	369.04041	358.34954	0	0	0	0	0	3
68	149	0	0.481854398	4.7383019	10.6033322	-8.19985995	369.04041	358.437078	0	0	0	0	0	3
69	151	0	0.488940492	4.73852936	10.518335	-8.19985995	369.04041	358.522075	0	0	0	0	0	3
70	152	0	0.496026586	4.73581479	10.4357276	-8.19985995	369.04041	358.604682	0	0	0	0	0	3
71	154	0	0.50311268	4.73502364	10.355436	-8.19985995	369.04041	358.684974	0	0	0	0	0	3
72	156	0	0.510198774	4.72960033	5.22429782	-8.19985995	29.7033515	37.9032114	0	0	0	0	0	3
73	158	0	0.517284868	4.72636308	5.13754728	-8.19985995	29.7033515	37.9032114	0	0	0	0	0	3
74	160	0	0.524370962	4.71877846	4.78565189	-8.19985995	16.3450906	24.5449506	0	0	0	0	0	3
75	162	0	0.531457056	4.71402225	4.96753755	0.727467252	16.3450906	15.6176234	0	0	0	0	0	3
76	164	0	0.53854315	4.70697492	4.80362043	0.727467252	9.45376505	8.7262978	0	0	0	0	0	3
77	166	0	0.545629244	4.7065694	4.85966412	2.86193029	9.45376505	6.59183476	0	0	0	0	0	3
78	168	0	0.552715338	4.7069063	4.79280696	2.86193029	7.10125936	4.23932907	0	0	0	0	0	3
79	170	0	0.559801433	4.71192258	4.81886319	3.78408109	7.10125936	3.31717826	0	0	0	0	0	3
80	172	0	0.566887527	4.7145055	4.78524693	3.78408109	5.7732914	1.98921031	0	0	0	0	0	3
81	174	0	0.573973621	4.71774972	4.7983972	4.55592925	5.7732914	1.21736216	0	0	0	0	0	3
82	176	0	0.581059715	4.7161132	4.78350736	4.55592925	5.43760322	0.88167397	0	0	0	0	0	3
83	178	0	0.588145809	4.72046087	4.78582471	4.64066448	5.43760322	0.79693874	0	0	0	0	0	3
84	180	0	0.595231903	4.72270249	4.77575568	4.64066448	5.33097689	0.690312413	0	0	0	0	0	3
85	182	0	0.602317997	4.73061077	4.77357979	4.64066448	5.33097689	0.690312413	0	0	0	0	0	3
86	184	0	0.609404091	4.73357922	4.76516574	4.64066448	5.23162296	0.59095848	0	0	0	0	0	3
87	186	0	0.616490185	4.74041712	4.76064399	4.64066448	5.23162296	0.59095848	0	0	0	0	0	3
88	188	0	0.623576279	4.74175481	4.75374444	4.64066448	5.15043834	0.509773865	0	0	0	0	0	3
89	190	0	0.630662373	4.74595748	4.74906415	4.64066448	5.15043834	0.509773865	0	0	0	0	0	3
90	192	0	0.637748467	4.74726325	4.74338562	4.64066448	5.0479185	0.407254021	0	0	0	0	0	3
91	194	0	0.644834562	4.75137741	4.73942236	4.64066448	5.0479185	0.407254021	0	0	0	0	0	3
92	196	0	0.651920656	4.75339783	4.73527418	4.64066448	4.96190224	0.32123776	0	0	0	0	0	3
93	198	0	0.65900675	4.75587336	4.73251771	4.64066448	4.96190224	0.32123776	0	0	0	0	0	3
94	200	0	0.666092844	4.75417066	4.72959191	4.64066448	4.88875095	0.24808647	0	0	0	0	0	3
95	201	0	0.673178938	4.7534767	4.72773221	4.64066448	4.88875095	0.24808647	0	0	0	0	0	3
96	203	0	0.680265032	4.74929829	4.72576809	4.64066448	4.82145767	0.180793186	0	0	0	0	0	3
97	205	0	0.687351126	4.7477035	4.7247293	4.64066448	4.81982961	0.179165131	0	0	0	0	0	3
98	207	0	0.69443722	4.74590425	4.7236881	4.64066448	4.77474136	0.134076881	0	0	0	0	0	3
99	209	0	0.701523314	4.74807245	4.72331943	4.64066448	4.77474136	0.134076881	0	0	0	0	0	3
100	211	0	0.708609408	4.74849627	4.72294978	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
101	216	0	0.715695502	4.74920773	4.7231244	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
102	218	0	0.722781596	4.74680224	4.72324697	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
103	220	0	0.729867691	4.74455559	4.72382608	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
104	222	0	0.736953785	4.74040042	4.72444919	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
105	224	0	0.744039879	4.74033796	4.72543843	4.64066448	4.75587336	0.115208884	0	0	0	0	0	3
