Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
92	196	0	0.651920656	0	0	0	0	0	0	0	0	0	0	3
93	198	0	0.65900675	0	0	0	0	0	0	0	0	0	0	3
94	200	0	0.666092844	0	0	0	0	0	0	0	0	0	0	3
95	201	0	0.673178938	0	0	0	0	0	0	0	0	0	0	3
96	203	0	0.680265032	0	0	0	0	0	0	0	0	0	0	3
97	205	0	0.687351126	0	0	0	0	0	0	0	0	0	0	3
98	207	0	0.69443722	0	0	0	0	0	0	0	0	0	0	3
99	209	0	0.701523314	0	0	0	0	0	0	0	0	0	0	3
100	211	0	0.708609408	0	0	0	0	0	0	0	0	0	0	3
101	216	0	0.715695502	0	0	0	0	0	0	0	0	0	0	3
102	218	0	0.722781596	0	0	0	0	0	0	0	0	0	0	3
103	220	0	0.729867691	0	0	0	0	0	0	0	0	0	0	3
104	222	0	0.736953785	0	0	0	0	0	0	0	0	0	0	3
105	224	0	0.744039879	0	0	0	0	0	0	0	0	0	0	3
106	225	0	0.751125973	0	0	0	0	0	0	0	0	0	0	3
107	227	0	0.758212067	0	0	0	0	0	0	0	0	0	0	3
108	229	0	0.765298161	0	0	0	0	0	0	0	0	0	0	3
109	231	0	0.772384255	0	0	0	0	0	0	0	0	0	0	3
110	233	0	0.779470349	0	0	0	0	0	0	0	0	0	0	3
111	235	0	0.786556443	0	0	0	0	0	0	0	0	0	0	3
112	237	0	0.793642537	0	0	0	0	0	0	0	0	0	0	3
113	239	0	0.800728631	0	0	0	0	0	0	0	0	0	0	3
114	241	0	0.807814725	0	0	0	0	0	0	0	0	0	0	3
115	243	0	0.81490082	0	0	0	0	0	0	0	0	0	0	3
116	245	0	0.821986914	0	0	0	0	0	0	0	0	0	0	3
117	247	0	0.829073008	0	0	0	0	0	0	0	0	0	0	3
118	248	0	0.836159102	0	0	0	0	0	0	0	0	0	0	3
119	250	0	0.843245196	0	0	0	0	0	0	0	0	0	0	3
120	252	0	0.85033129	0	0	0	0	0	0	0	0	0	0	3
121	254	0	0.857417384	0	0	0	0	0	0	0	0	0	0	3
122	256	0	0.864503478	0	0	0	0	0	0	0	0	0	0	3
123	258	0	0.871589572	0	0	0	0	0	0	0	0	0	0	3
124	260	0	0.878675666	0	0	0	0	0	0	0	0	0	0	3
125	262	0	0.88576176	0	0	0	0	0	0	0	0	0	0	3
126	264	0	0.892847854	0	0	0	0	0	0	0	0	0	0	3
127	266	0	0.899933949	0	0	0	0	0	0	0	0	0	0	3
128	268	0	0.907020043	0	0	0	0	0	0	0	0	0	0	3
129	270	0	0.914106137	0	0	0	0	0	0	0	0	0	0	3
130	271	0	0.921192231	0	0	0	0	0	0	0	0	0	0	3
131	273	0	0.928278325	0	0	0	0	0	0	0	0	0	0	3
132	275	0	0.935364419	0	0	0	0	0	0	0	0	0	0	3
133	277	0	0.942450513	0	0	0	0	0	0	0	0	0	0	3
134	279	0	0.949536607	0	0	0	0	0	0	0	0	0	0	3
135	281	0	0.956622701	0	0	0	0	0	0	0	0	0	0	3
136	283	0	0.963708795	0	0	0	0	0	0	0	0	0	0	3
137	285	0	0.970794889	0	0	0	0	0	0	0	0	0	0	3
138	287	0	0.977880983	0	0	0	0	0	0	0	0	0	0	3
139	289	0	0.984967078	0	0	0	0	0	0	0	0	0	0	3
140	291	0	0.992053172	0	0	0	0	0	0	0	0	0	0	3
141	293	0	0.999139266	0	0	0	0	0	0	0	0	0	0	3
142	295	0	1.00622536	0	0	0	0	0	5e-06	0	0	0	0	3
143	296	0	1.01331145	0	0	0	0	0	5e-06	0	0	0	0	3
144	298	0	1.02039755	0	0	0	0	0	5e-06	0	0	0	0	3
145	300	0	1.02748364	0	0	0	0	0	5e-06	0	0	0	0	3
146	302	0	1.03456974	0	0	0	0	0	5e-06	0	0	0	0	3
147	304	0	1.04165583	0	0	0	0	0	5e-06	0	0	0	0	3
148	306	0	1.04874192	0	0	0	0	0	5e-06	0	0	0	0	3
149	308	0	1.05582802	0	0	0	0	0	5e-06	0	0	0	0	3
150	310	0	1.06291411	0	0	0	0	0	5e-06	0	0	0	0	3
151	312	0	1.07000021	0	0	0	0	0	5e-06	0	0	0	0	3
152	314	0	1.0770863	0	0	0	0	0	5e-06	0	0	0	0	3
153	316	0	1.08417239	0	0	0	0	0	5e-06	0	0	0	0	3
154	318	0	1.09125849	0	0	0	0	0	5e-06	0	0	0	0	3
155	319	0	1.09834458	0	0	0	0	0	5e-06	0	0	0	0	3
156	321	0	1.10543068	0	0	0	0	0	5e-06	0	0	0	0	3
157	323	0	1.11251677	0	0	0	0	0	5e-06	0	0	0	0	3
158	325	0	1.11960287	0	0	0	0	0	5e-06	0	0	0	0	3
159	327	0	1.12668896	0	0	0	0	0	5e-06	0	0	0	0	3
160	329	0	1.13377505	0	0	0	0	0	5e-06	0	0	0	0	3
161	331	0	1.14086115	0	0	0	0	0	5e-06	0	0	0	0	3
162	333	0	1.14794724	0	0	0	0	0	5e-06	0	0	0	0	3
163	335	0	1.15503334	0	0	0	0	0	5e-06	0	0	0	0	3
164	336	0	1.16211943	0	0	0	0	0	5e-06	0	0	0	0	3
165	338	0	1.16920552	0	0	0	0	0	5e-06	0	0	0	0	3
166	340	0	1.17629162	0	0	0	0	0	5e-06	0	0	0	0	3
167	342	0	1.18337771	0	0	0	0	0	5e-06	0	0	0	0	3
168	344	0	1.19046381	0	0	0	0	0	5e-06	0	0	0	0	3
169	346	0	1.1975499	0	0	0	0	0	5e-06	0	0	0	0	3
170	348	0	1.20463599	0	0	0	0	0	5e-06	0	0	0	0	3
171	350	0	1.21172209	0	0	0	0	0	5e-06	0	0	0	0	3
172	352	0	1.21880818	0	0	0	0	0	5e-06	0	0	0	0	3
173	354	0	1.22589428	0	0	0	0	0	5e-06	0	0	0	0	3
174	356	0	1.23298037	0	0	0	0	0	5e-06	0	0	0	0	3
175	358	0	1.24006646	0	0	0	0	0	5e-06	0	0	0	0	3
176	363	0	1.24715256	0	0	0	0	0	5e-06	0	0	0	0	3
177	369	0	1.25423865	0	0	0	0	0	5e-06	0	0	0	0	3
178	374	0	1.26132475	0	0	0	0	0	5e-06	0	0	0	0	3
179	381	0	1.26841084	0	0	0	0	0	5e-06	0	0	0	0	3
180	388	0	1.27549693	0	0	0	0	0	5e-06	0	0	0	0	3
181	394	0	1.28258303	0	0	0	0	0	5e-06	0	0	0	0	3
182	400	0	1.28966912	0	0	0	0	0	5e-06	0	0	0	0	3
183	407	0	1.29675522	0	0	0	0	0	5e-06	0	0	0	0	3
184	414	0	1.30384131	0	0	0	0	0	5e-06	0	0	0	0	3
185	421	0	1.31092741	0	0	0	0	0	5e-06	0	0	0	0	3
186	427	0	1.3180135	0	0	0	0	0	5e-06	0	0	0	0	3
187	433	0	1.32509959	0	0	0	0	0	5e-06	0	0	0	0	3
188	439	0	1.33218569	0	0	0	0	0	5e-06	0	0	0	0	3
189	445	0	1.33927178	0	0	0	0	0	5e-06	0	0	0	0	3
190	451	0	1.34635788	0	0	0	0	0	5e-06	0	0	0	0	3
191	458	0	1.35344397	0	0	0	0	0	5e-06	0	0	0	0	3
192	465	0	1.36053006	0	0	0	0	0	5e-06	0	0	0	0	3
193	472	0	1.36761616	0	0	0	0	0	5e-06	0	0	0	0	3
194	478	0	1.37470225	0	0	0	0	0	5e-06	0	0	0	0	3
195	485	0	1.38178835	0	0	0	0	0	5e-06	0	0	0	0	3
196	491	0	1.38887444	0	0	0	0	0	5e-06	0	0	0	0	3
197	497	0	1.39596053	0	0	0	0	0	5e-06	0	0	0	0	3
198	504	0	1.40304663	0	0	0	0	0	5e-06	0	0	0	0	3
199	509	0	1.41013272	0	0	0	0	0	5e-06	0	0	0	0	3
200	516	0	1.41721882	0	0	0	0	0	5e-06	0	0	0	0	3
201	529	0	1.42430491	0	0	0	0	0	5e-06	0	0	0	0	3
202	536	0	1.431391	0	0	0	0	0	5e-06	0	0	0	0	3
203	542	0	1.4384771	0	0	0	0	0	5e-06	0	0	0	0	3
204	547	0	1.44556319	0	0	0	0	0	5e-06	0	0	0	0	3
205	552	0	1.45264929	0	0	0	0	0	5e-06	0	0	0	0	3
206	557	0	1.45973538	0	0	0	0	0	5e-06	0	0	0	0	3
207	562	0	1.46682148	0	0	0	0	0	5e-06	0	0	0	0	3
208	566	0	1.47390757	0	0	0	0	0	5e-06	0	0	0	0	3
209	572	0	1.48099366	0	0	0	0	0	5e-06	0	0	0	0	3
210	577	0	1.48807976	0	0	0	0	0	5e-06	0	0	0	0	3
211	582	0	1.49516585	0	0	0	0	0	5e-06	0	0	0	0	3
212	587	0	1.50225195	0	0	0	0	0	5e-06	0	0	0	0	3
213	591	0	1.50933804	0	0	0	0	0	5e-06	0	0	0	0	3
214	596	0	1.51642413	0	0	0	0	0	5e-06	0	0	0	0	3
215	601	0	1.52351023	0	0	0	0	0	5e-06	0	0	0	0	3
216	607	0	1.53059632	0	0	0	0	0	5e-06	0	0	0	0	3
217	612	0	1.53768242	0	0	0	0	0	5e-06	0	0	0	0	3
218	616	0	1.54476851	0	0	0	0	0	5e-06	0	0	0	0	3
219	621	0	1.5518546	0	0	0	0	0	5e-06	0	0	0	0	3
220	626	0	1.5589407	0	0	0	0	0	5e-06	0	0	0	0	3
221	631	0	1.56602679	0	0	0	0	0	5e-06	0	0	0	0	3
222	635	0	1.57311289	0	0	0	0	0	5e-06	0	0	0	0	3
223	640	0	1.58019898	0	0	0	0	0	5e-06	0	0	0	0	3
224	645	0	1.58728507	0	0	0	0	0	5e-06	0	0	0	0	3
225	650	0	1.59437117	0	0	0	0	0	5e-06	0	0	0	0	3
226	654	0	1.60145726	0	0	0	0	0	5e-06	0	0	0	0	3
227	659	0	1.60854336	0	0	0	0	0	5e-06	0	0	0	0	3
228	663	0	1.61562945	0	0	0	0	0	5e-06	0	0	0	0	3
229	668	0	1.62271555	0	0	0	0	0	5e-06	0	0	0	0	3
230	673	0	1.62980164	0	0	0	0	0	5e-06	0	0	0	0	3
231	678	0	1.63688773	0	0	0	0	0	5e-06	0	0	0	0	3
232	683	0	1.64397383	0	0	0	0	0	5e-06	0	0	0	0	3
233	687	0	1.65105992	0	0	0	0	0	5e-06	0	0	0	0	3
234	692	0	1.65814602	0	0	0	0	0	5e-06	0	0	0	0	3
235	698	0	1.66523211	0	0	0	0	0	5e-06	0	0	0	0	3
236	702	0	1.6723182	0	0	0	0	0	5e-06	0	0	0	0	3
237	707	0	1.6794043	0	0	0	0	0	5e-06	0	0	0	0	3
238	712	0	1.68649039	0	0	0	0	0	5e-06	0	0	0	0	3
